,Adgrl1
1003,2.0
1004,7.0
1005,1.0
1006,6.0
1007,11.0
1008,6.0
1009,12.0
1010,7.0
1011,14.0
1012,9.0
1013,2.0
1014,6.0
1015,9.0
1016,0.0
1017,4.0
1018,1.0
1019,7.0
1020,9.0
1021,7.0
1022,1.0
1023,6.0
1024,0.0
1025,3.0
1026,4.0
1027,2.0
1028,3.0
1029,0.0
1030,6.0
1031,11.0
1032,1.0
1033,4.0
1034,6.0
1035,16.0
1036,3.0
1037,5.0
1038,18.0
1039,0.0
1040,6.0
1041,10.0
1042,1.0
1043,1.0
1044,12.0
1045,0.0
1046,0.0
1047,0.0
1048,6.0
1049,7.0
1050,5.0
1051,7.0
1052,4.0
1053,16.0
1054,25.0
1055,11.0
1056,5.0
1057,11.0
1058,19.0
1059,4.0
1060,11.0
1061,3.0
1062,7.0
1063,3.0
1064,0.0
1065,9.0
1066,1.0
1067,1.0
1068,3.0
1069,6.0
1070,2.0
1071,1.0
1072,0.0
1073,8.0
1074,3.0
1075,11.0
1076,7.0
1077,5.0
1078,3.0
1079,9.0
1080,0.0
1081,4.0
1082,6.0
1083,3.0
1084,7.0
1085,7.0
1086,2.0
1087,1.0
1088,1.0
1089,5.0
1090,3.0
1091,1.0
1092,6.0
1093,3.0
1094,0.0
1095,8.0
1096,8.0
1097,0.0
1098,1.0
1099,9.0
1100,0.0
1101,12.0
1102,11.0
1103,6.0
1104,8.0
1105,4.0
1106,4.0
1107,4.0
1108,3.0
1109,13.0
1110,11.0
1111,11.0
1112,6.0
1113,6.0
1114,1.0
1115,4.0
1116,9.0
1117,2.0
1118,3.0
1119,4.0
1120,13.0
1121,7.0
1122,2.0
1123,1.0
1124,6.0
1125,0.0
1126,1.0
1127,4.0
1128,9.0
1129,2.0
1130,0.0
1131,14.0
1132,8.0
1133,11.0
1134,5.0
1135,16.0
1136,1.0
1137,7.0
1138,18.0
1139,9.0
1140,0.0
1141,9.0
1142,1.0
1143,4.0
1144,7.0
1145,0.0
1146,0.0
1147,3.0
1148,1.0
1149,15.0
1150,2.0
1151,0.0
1152,0.0
1153,1.0
1154,1.0
1155,1.0
1156,2.0
1157,1.0
1158,0.0
1159,1.0
1160,0.0
1161,1.0
1162,4.0
1163,10.0
1164,0.0
1165,6.0
1166,3.0
1167,14.0
1168,11.0
1169,6.0
1170,8.0
1171,1.0
1172,1.0
1173,0.0
1174,0.0
1175,4.0
1176,7.0
1177,0.0
1178,5.0
1179,0.0
1180,7.0
1181,3.0
1182,1.0
1183,2.0
1184,1.0
1185,9.0
1186,13.0
1187,0.0
1188,3.0
1189,3.0
1190,3.0
1191,1.0
1192,1.0
1193,1.0
1194,4.0
1195,6.0
1196,4.0
1197,3.0
1198,8.0
1199,0.0
1200,10.0
1201,0.0
1202,2.0
1203,12.0
1204,9.0
1205,10.0
1206,0.0
1207,1.0
1208,6.0
1209,4.0
1210,0.0
1211,7.0
1212,4.0
1213,11.0
1214,0.0
1215,4.0
1216,7.0
1217,3.0
1218,2.0
1219,7.0
1220,4.0
1221,2.0
1222,9.0
1223,7.0
1224,0.0
1225,5.0
1226,4.0
1227,12.0
1228,7.0
1229,0.0
1230,6.0
1231,8.0
1232,2.0
1233,2.0
1234,10.0
1235,7.0
1236,1.0
1237,5.0
1238,6.0
1239,3.0
1240,2.0
1241,0.0
1242,8.0
1243,0.0
1244,4.0
1245,4.0
1246,13.0
1247,3.0
1248,9.0
1249,1.0
1250,7.0
1251,1.0
1252,4.0
1253,0.0
1254,0.0
1255,7.0
1256,2.0
1257,2.0
1258,0.0
1259,10.0
1260,3.0
1261,2.0
1262,6.0
1263,3.0
1264,4.0
1265,15.0
1266,1.0
1267,12.0
1268,3.0
1269,3.0
1270,6.0
1271,10.0
1272,7.0
1273,3.0
1274,4.0
1275,1.0
1276,7.0
1277,7.0
1278,16.0
1279,4.0
1280,5.0
1281,12.0
1282,0.0
1283,1.0
1284,6.0
1285,0.0
1286,4.0
1287,2.0
1288,5.0
1289,0.0
1290,0.0
1291,5.0
1292,0.0
1293,1.0
1294,3.0
1295,1.0
1296,1.0
1297,15.0
1298,3.0
1299,6.0
1300,8.0
1301,9.0
1302,5.0
1303,7.0
1304,0.0
1305,2.0
1306,1.0
1307,3.0
1308,11.0
1309,4.0
1310,8.0
1311,10.0
1312,3.0
1313,6.0
1314,15.0
1315,2.0
1316,2.0
1317,0.0
1318,0.0
1319,1.0
1320,12.0
1321,17.0
1322,2.0
1323,10.0
1324,1.0
1325,7.0
1326,5.0
1327,2.0
1328,9.0
1329,5.0
1330,11.0
1331,3.0
1332,8.0
1333,6.0
1334,0.0
1335,6.0
1336,7.0
1337,11.0
1338,0.0
1339,2.0
1340,3.0
1341,2.0
1342,3.0
1343,2.0
1344,3.0
1345,9.0
1346,8.0
1347,10.0
1348,0.0
1349,3.0
1350,3.0
1351,0.0
1352,6.0
1353,4.0
1354,10.0
1355,3.0
1356,1.0
1357,1.0
1358,3.0
1359,2.0
1360,9.0
1361,10.0
1362,12.0
1363,1.0
1364,1.0
1365,5.0
1366,1.0
1367,13.0
1368,6.0
1369,11.0
1370,9.0
1371,8.0
1372,1.0
