,Epha4
1279,18.0
1280,9.0
1281,10.0
1282,1.0
1283,13.0
1284,26.0
1285,5.0
1286,10.0
1287,2.0
1288,14.0
1289,1.0
1290,1.0
1291,14.0
1292,13.0
1293,3.0
1294,6.0
1295,0.0
1296,1.0
1297,17.0
1298,8.0
1299,13.0
1300,18.0
1301,4.0
1302,14.0
1303,18.0
1304,7.0
1305,3.0
1306,4.0
1307,3.0
1308,1.0
1309,19.0
1310,20.0
1311,19.0
1312,10.0
1313,12.0
1314,21.0
1315,3.0
1316,8.0
1317,4.0
1318,2.0
1319,20.0
1320,36.0
1321,29.0
1322,8.0
1323,35.0
1324,1.0
1325,10.0
1326,23.0
1327,10.0
1328,30.0
1329,24.0
1330,29.0
1331,10.0
1332,41.0
1333,10.0
1334,4.0
1335,25.0
1336,13.0
1337,36.0
1338,0.0
1339,9.0
1340,14.0
1341,5.0
1342,15.0
1343,2.0
1344,0.0
1345,12.0
1346,13.0
1347,13.0
1348,1.0
1349,5.0
1350,15.0
1351,1.0
1352,17.0
1353,15.0
1354,29.0
1355,4.0
1356,0.0
1357,9.0
1358,10.0
1359,2.0
1360,22.0
1361,48.0
1362,21.0
1363,4.0
1364,2.0
1365,11.0
1366,11.0
1367,19.0
1368,12.0
1369,24.0
1370,26.0
1371,30.0
1372,10.0
1373,23.0
1374,26.0
1375,20.0
1376,20.0
1377,17.0
1378,2.0
1379,0.0
1380,17.0
1381,0.0
1382,4.0
1383,6.0
1384,13.0
1385,3.0
1386,18.0
1387,1.0
1388,3.0
1389,0.0
1390,0.0
1391,17.0
1392,28.0
1393,11.0
1394,12.0
1395,1.0
1396,3.0
1397,15.0
1398,22.0
1399,6.0
1400,0.0
1401,7.0
1402,27.0
1403,0.0
1404,1.0
1405,17.0
1406,4.0
1407,12.0
1408,9.0
1409,3.0
1410,15.0
1411,18.0
1412,4.0
1413,5.0
1414,9.0
1415,1.0
1416,16.0
1417,22.0
1418,3.0
1419,2.0
1420,32.0
1421,23.0
1422,10.0
1423,18.0
1424,12.0
1425,26.0
1426,18.0
1427,15.0
1428,1.0
1429,23.0
1430,5.0
1431,11.0
1432,0.0
1433,3.0
1434,2.0
1435,19.0
1436,0.0
1437,1.0
1438,10.0
1439,3.0
1440,16.0
1441,21.0
1442,22.0
1443,3.0
1444,20.0
1445,25.0
1446,7.0
1447,2.0
1448,0.0
1449,19.0
1450,7.0
1451,9.0
1452,25.0
1453,0.0
1454,24.0
1455,6.0
1456,1.0
1457,10.0
1458,11.0
1459,22.0
1460,41.0
1461,25.0
1462,1.0
1463,11.0
1464,12.0
1465,8.0
1466,25.0
1467,19.0
1468,0.0
1469,2.0
1470,11.0
1471,29.0
1472,19.0
1473,22.0
1474,1.0
1475,1.0
1476,16.0
1477,19.0
1478,9.0
1479,12.0
1480,20.0
1481,6.0
1482,6.0
1483,28.0
1484,0.0
1485,38.0
1486,19.0
1487,29.0
1488,25.0
1489,0.0
1490,14.0
1491,18.0
1492,1.0
1493,18.0
1494,23.0
1495,15.0
1496,8.0
1497,37.0
1498,1.0
1499,19.0
1500,5.0
1501,0.0
1502,1.0
1503,4.0
1504,5.0
1505,2.0
1506,28.0
1507,0.0
1508,19.0
1509,0.0
1510,19.0
1511,14.0
1512,3.0
1513,3.0
1514,2.0
1515,5.0
1516,33.0
1517,1.0
1518,2.0
1519,24.0
1520,0.0
1521,0.0
1522,2.0
1523,19.0
1524,29.0
1525,4.0
1526,27.0
1527,0.0
1528,0.0
1529,1.0
1530,0.0
1531,16.0
1532,29.0
1533,10.0
1534,1.0
1535,6.0
1536,0.0
1537,0.0
1538,0.0
1539,35.0
1540,9.0
1541,0.0
1542,4.0
1543,13.0
1544,20.0
1545,7.0
1546,10.0
1547,17.0
1548,19.0
1549,9.0
1550,27.0
1551,3.0
1552,15.0
1553,1.0
1554,13.0
1555,0.0
1556,13.0
1557,0.0
1558,5.0
1559,4.0
1560,21.0
1561,8.0
1562,9.0
1563,9.0
1564,23.0
1565,36.0
1566,29.0
1567,20.0
1568,6.0
1569,7.0
1570,27.0
1571,0.0
1572,9.0
1573,35.0
1574,20.0
1575,11.0
1576,28.0
1577,36.0
1578,17.0
1579,6.0
1580,5.0
1581,5.0
1582,16.0
1583,24.0
1584,28.0
1585,5.0
1586,0.0
1587,1.0
1588,14.0
1589,15.0
1590,4.0
1591,3.0
1592,4.0
1593,15.0
1594,43.0
1595,32.0
1596,8.0
1597,3.0
1598,16.0
1599,22.0
1600,32.0
1601,1.0
1602,18.0
1603,24.0
1604,5.0
1605,0.0
1606,20.0
1607,14.0
1608,8.0
1609,28.0
1610,30.0
1611,15.0
1612,19.0
1613,1.0
1614,15.0
1615,14.0
1616,2.0
1617,0.0
1618,24.0
1619,1.0
1620,1.0
1621,8.0
1622,16.0
1623,1.0
1624,15.0
1625,8.0
1626,4.0
1627,2.0
1628,5.0
1629,0.0
1630,15.0
1631,10.0
1632,23.0
1633,2.0
1634,13.0
1635,20.0
1636,12.0
1637,23.0
1638,29.0
1639,26.0
1640,30.0
1641,6.0
1642,24.0
1643,45.0
1644,31.0
1645,23.0
1646,5.0
1647,15.0
1648,2.0
1649,5.0
1650,19.0
1651,18.0
1652,31.0
1653,8.0
1654,14.0
1655,8.0
1656,4.0
1657,24.0
1658,17.0
1659,38.0
1660,22.0
1661,6.0
1662,28.0
1663,0.0
1664,18.0
1665,19.0
1666,15.0
1667,1.0
1668,5.0
1669,24.0
1670,48.0
1671,29.0
1672,13.0
1673,10.0
1674,1.0
1675,1.0
1676,15.0
1677,11.0
1678,6.0
1679,9.0
1680,28.0
1681,27.0
1682,2.0
1683,0.0
1684,1.0
1685,20.0
1686,2.0
1687,22.0
1688,4.0
1689,32.0
1690,17.0
1691,13.0
1692,0.0
1693,1.0
1694,5.0
1695,6.0
1696,17.0
1697,30.0
1698,1.0
1699,19.0
1700,6.0
1701,5.0
1702,45.0
1703,6.0
1704,5.0
1705,0.0
1706,20.0
1707,14.0
1708,18.0
1709,0.0
1710,8.0
1711,2.0
1712,4.0
1713,1.0
1714,0.0
1715,9.0
1716,27.0
1717,6.0
1718,9.0
1719,12.0
1720,4.0
1721,7.0
1722,19.0
1723,3.0
1724,18.0
1725,22.0
1726,18.0
1727,10.0
1728,26.0
1729,18.0
1730,23.0
1731,2.0
1732,15.0
1733,12.0
1734,26.0
1735,0.0
1736,36.0
1737,10.0
1738,6.0
1739,23.0
1740,4.0
1741,9.0
1742,5.0
1743,22.0
1744,33.0
1745,25.0
1746,2.0
1747,0.0
1748,0.0
1749,36.0
1750,12.0
1751,3.0
1752,16.0
1753,32.0
1754,5.0
1755,19.0
1756,6.0
1757,3.0
1758,16.0
1759,12.0
1760,0.0
1761,12.0
1762,23.0
1763,25.0
1764,0.0
1765,20.0
1766,5.0
1767,1.0
1768,20.0
1769,18.0
1770,3.0
1771,14.0
1772,21.0
1773,3.0
1774,3.0
1775,25.0
1776,16.0
1777,20.0
1778,4.0
1779,14.0
1780,2.0
1781,17.0
1782,6.0
1783,28.0
1784,32.0
1785,33.0
1786,24.0
1787,35.0
1788,3.0
1789,24.0
1790,43.0
1791,5.0
1792,18.0
1793,5.0
1794,14.0
1795,1.0
1796,12.0
1797,0.0
1798,2.0
1799,14.0
