,Fzd3
1499,8.0
1500,1.0
1501,2.0
1502,6.0
1503,0.0
1504,10.0
1505,3.0
1506,12.0
1507,1.0
1508,18.0
1509,0.0
1510,8.0
1511,13.0
1512,0.0
1513,3.0
1514,4.0
1515,5.0
1516,17.0
1517,0.0
1518,0.0
1519,7.0
1520,2.0
1521,0.0
1522,3.0
1523,11.0
1524,23.0
1525,0.0
1526,16.0
1527,0.0
1528,1.0
1529,4.0
1530,0.0
1531,7.0
1532,7.0
1533,1.0
1534,1.0
1535,2.0
1536,0.0
1537,0.0
1538,0.0
1539,10.0
1540,5.0
1541,2.0
1542,1.0
1543,4.0
1544,16.0
1545,3.0
1546,4.0
1547,11.0
1548,19.0
1549,4.0
1550,11.0
1551,0.0
1552,9.0
1553,0.0
1554,18.0
1555,2.0
1556,12.0
1557,1.0
1558,1.0
1559,7.0
1560,3.0
1561,11.0
1562,4.0
1563,12.0
1564,5.0
1565,12.0
1566,21.0
1567,5.0
1568,6.0
1569,3.0
1570,18.0
1571,0.0
1572,7.0
1573,12.0
1574,5.0
1575,5.0
1576,18.0
1577,12.0
1578,15.0
1579,0.0
1580,3.0
1581,2.0
1582,5.0
1583,18.0
1584,17.0
1585,2.0
1586,0.0
1587,2.0
1588,17.0
1589,10.0
1590,4.0
1591,4.0
1592,1.0
1593,10.0
1594,12.0
1595,23.0
1596,4.0
1597,2.0
1598,13.0
1599,5.0
1600,27.0
1601,1.0
1602,1.0
1603,10.0
1604,6.0
1605,0.0
1606,8.0
1607,6.0
1608,4.0
1609,7.0
1610,11.0
1611,5.0
1612,22.0
1613,1.0
1614,3.0
1615,11.0
1616,2.0
1617,0.0
1618,20.0
1619,0.0
1620,0.0
1621,3.0
1622,17.0
1623,0.0
1624,3.0
1625,5.0
1626,0.0
1627,2.0
1628,2.0
1629,1.0
1630,4.0
1631,3.0
1632,19.0
1633,1.0
1634,9.0
1635,11.0
1636,3.0
1637,6.0
1638,6.0
1639,10.0
1640,14.0
1641,9.0
1642,16.0
1643,20.0
1644,12.0
1645,5.0
1646,4.0
1647,8.0
1648,0.0
1649,0.0
1650,12.0
1651,19.0
1652,21.0
1653,10.0
1654,6.0
1655,2.0
1656,2.0
1657,6.0
1658,7.0
1659,14.0
1660,9.0
1661,3.0
1662,12.0
1663,0.0
1664,12.0
1665,8.0
1666,13.0
1667,2.0
1668,2.0
1669,16.0
1670,53.0
1671,17.0
1672,7.0
1673,21.0
1674,0.0
1675,0.0
1676,8.0
1677,11.0
1678,6.0
1679,8.0
1680,16.0
1681,20.0
1682,1.0
1683,0.0
1684,3.0
1685,4.0
1686,5.0
1687,15.0
1688,1.0
1689,13.0
1690,7.0
1691,9.0
1692,2.0
1693,2.0
1694,1.0
1695,1.0
1696,20.0
1697,12.0
1698,3.0
1699,8.0
1700,3.0
1701,2.0
1702,20.0
1703,1.0
1704,9.0
1705,0.0
1706,9.0
1707,4.0
1708,6.0
1709,0.0
1710,1.0
1711,3.0
1712,2.0
1713,4.0
1714,0.0
1715,3.0
1716,21.0
1717,1.0
1718,3.0
1719,7.0
1720,5.0
1721,10.0
1722,12.0
1723,2.0
1724,15.0
1725,13.0
1726,10.0
1727,10.0
1728,6.0
1729,7.0
1730,15.0
1731,1.0
1732,15.0
1733,8.0
1734,15.0
1735,1.0
1736,14.0
1737,5.0
1738,15.0
1739,13.0
1740,3.0
1741,3.0
1742,7.0
1743,17.0
1744,24.0
1745,11.0
1746,0.0
1747,0.0
1748,0.0
1749,21.0
1750,7.0
1751,5.0
1752,8.0
1753,23.0
1754,5.0
1755,12.0
1756,4.0
1757,3.0
1758,14.0
1759,9.0
1760,0.0
1761,9.0
1762,11.0
1763,11.0
1764,0.0
1765,25.0
1766,7.0
1767,4.0
1768,17.0
1769,6.0
1770,2.0
1771,5.0
1772,16.0
1773,3.0
1774,1.0
1775,5.0
1776,7.0
1777,7.0
1778,1.0
1779,4.0
1780,0.0
1781,16.0
1782,1.0
1783,20.0
1784,9.0
1785,35.0
1786,9.0
1787,12.0
1788,3.0
1789,11.0
1790,19.0
1791,7.0
1792,13.0
1793,9.0
1794,4.0
1795,0.0
1796,6.0
1797,0.0
1798,1.0
