,Slc17a7
1227,60.0
1228,36.0
1229,1.0
1230,78.0
1231,83.0
1232,9.0
1233,16.0
1234,116.0
1235,72.0
1236,1.0
1237,44.0
1238,59.0
1239,52.0
1240,23.0
1241,1.0
1242,125.0
1243,0.0
1244,7.0
1245,38.0
1246,62.0
1247,10.0
1248,50.0
1249,2.0
1250,58.0
1251,7.0
1252,34.0
1253,1.0
1254,0.0
1255,28.0
1256,1.0
1257,0.0
1258,3.0
1259,75.0
1260,37.0
1261,13.0
1262,53.0
1263,38.0
1264,1.0
1265,75.0
1266,8.0
1267,100.0
1268,11.0
1269,50.0
1270,50.0
1271,83.0
1272,60.0
1273,34.0
1274,37.0
1275,7.0
1276,7.0
1277,49.0
1278,88.0
1279,65.0
1280,31.0
1281,98.0
1282,2.0
1283,15.0
1284,64.0
1285,24.0
1286,35.0
1287,0.0
1288,31.0
1289,5.0
1290,2.0
1291,40.0
1292,22.0
1293,16.0
1294,0.0
1295,6.0
1296,0.0
1297,74.0
1298,33.0
1299,39.0
1300,44.0
1301,2.0
1302,27.0
1303,64.0
1304,29.0
1305,11.0
1306,14.0
1307,13.0
1308,1.0
1309,86.0
1310,45.0
1311,74.0
1312,14.0
1313,49.0
1314,63.0
1315,16.0
1316,34.0
1317,9.0
1318,0.0
1319,18.0
1320,85.0
1321,102.0
1322,15.0
1323,103.0
1324,1.0
1325,42.0
1326,44.0
1327,30.0
1328,51.0
1329,66.0
1330,87.0
1331,28.0
1332,146.0
1333,39.0
1334,9.0
1335,92.0
1336,1.0
1337,120.0
1338,1.0
1339,22.0
1340,33.0
1341,28.0
1342,40.0
1343,11.0
1344,4.0
1345,1.0
1346,55.0
1347,40.0
1348,0.0
1349,4.0
1350,49.0
1351,1.0
1352,55.0
1353,49.0
1354,103.0
1355,7.0
1356,1.0
1357,14.0
1358,32.0
1359,10.0
1360,62.0
1361,74.0
1362,64.0
1363,10.0
1364,6.0
1365,46.0
1366,22.0
1367,49.0
1368,40.0
1369,77.0
1370,53.0
1371,94.0
1372,27.0
1373,76.0
1374,63.0
1375,35.0
1376,47.0
1377,92.0
1378,0.0
1379,1.0
1380,91.0
1381,2.0
1382,24.0
1383,12.0
1384,25.0
1385,8.0
1386,33.0
1387,11.0
1388,15.0
1389,0.0
1390,0.0
1391,51.0
1392,49.0
1393,20.0
1394,41.0
1395,3.0
1396,1.0
1397,36.0
1398,44.0
1399,17.0
1400,0.0
1401,13.0
1402,46.0
1403,0.0
1404,8.0
1405,49.0
1406,9.0
1407,43.0
1408,18.0
1409,13.0
1410,45.0
1411,81.0
1412,0.0
1413,50.0
1414,35.0
1415,10.0
1416,53.0
1417,69.0
1418,8.0
1419,11.0
1420,92.0
1421,85.0
1422,30.0
1423,37.0
1424,58.0
1425,113.0
1426,44.0
1427,67.0
1428,0.0
1429,58.0
1430,21.0
1431,54.0
1432,0.0
1433,0.0
1434,0.0
1435,69.0
1436,0.0
1437,2.0
1438,39.0
1439,4.0
1440,34.0
1441,53.0
1442,52.0
1443,20.0
1444,39.0
1445,37.0
1446,28.0
1447,5.0
1448,6.0
1449,60.0
1450,18.0
1451,47.0
1452,68.0
1453,1.0
1454,59.0
1455,29.0
1456,1.0
1457,35.0
1458,42.0
1459,74.0
1460,62.0
1461,91.0
1462,11.0
1463,34.0
1464,23.0
1465,50.0
1466,86.0
1467,49.0
1468,1.0
1469,6.0
1470,32.0
1471,56.0
1472,34.0
1473,67.0
1474,7.0
1475,0.0
1476,70.0
1477,48.0
1478,14.0
1479,27.0
1480,27.0
1481,13.0
1482,2.0
1483,94.0
1484,0.0
1485,111.0
1486,73.0
1487,91.0
1488,34.0
1489,1.0
1490,60.0
1491,69.0
1492,5.0
1493,52.0
1494,63.0
1495,41.0
1496,19.0
1497,125.0
1498,0.0
1499,37.0
1500,0.0
1501,0.0
1502,16.0
1503,4.0
1504,28.0
1505,8.0
1506,80.0
1507,0.0
1508,78.0
1509,0.0
1510,31.0
1511,33.0
1512,0.0
1513,5.0
1514,4.0
1515,14.0
1516,96.0
1517,1.0
1518,0.0
1519,40.0
1520,3.0
1521,2.0
1522,1.0
1523,44.0
1524,85.0
1525,3.0
1526,70.0
1527,1.0
1528,1.0
1529,1.0
1530,0.0
1531,46.0
1532,39.0
1533,20.0
1534,13.0
1535,0.0
1536,0.0
1537,4.0
1538,4.0
1539,46.0
1540,31.0
1541,2.0
1542,14.0
1543,22.0
1544,67.0
1545,0.0
1546,26.0
1547,61.0
1548,94.0
1549,29.0
1550,59.0
1551,5.0
1552,69.0
1553,8.0
1554,68.0
1555,8.0
1556,44.0
1557,5.0
1558,7.0
1559,23.0
1560,57.0
1561,32.0
1562,42.0
1563,39.0
1564,46.0
1565,116.0
1566,112.0
1567,44.0
1568,26.0
1569,21.0
1570,70.0
1571,1.0
1572,30.0
1573,64.0
1574,50.0
1575,29.0
1576,73.0
1577,90.0
1578,76.0
1579,12.0
1580,13.0
1581,1.0
1582,29.0
1583,70.0
1584,80.0
1585,11.0
1586,0.0
1587,3.0
1588,93.0
1589,36.0
1590,0.0
1591,10.0
1592,8.0
1593,59.0
1594,88.0
1595,118.0
1596,35.0
1597,25.0
1598,61.0
1599,55.0
1600,106.0
1601,1.0
1602,38.0
1603,79.0
1604,14.0
1605,0.0
1606,54.0
1607,21.0
1608,8.0
1609,82.0
1610,55.0
1611,32.0
1612,60.0
1613,0.0
1614,36.0
1615,40.0
1616,2.0
1617,1.0
1618,116.0
1619,3.0
1620,1.0
1621,10.0
1622,44.0
1623,0.0
1624,35.0
1625,20.0
1626,2.0
1627,1.0
1628,12.0
1629,4.0
1630,35.0
1631,12.0
1632,102.0
1633,1.0
1634,43.0
1635,48.0
1636,9.0
1637,57.0
1638,50.0
1639,78.0
1640,72.0
1641,6.0
1642,52.0
1643,117.0
1644,52.0
1645,42.0
1646,22.0
1647,32.0
1648,0.0
1649,9.0
1650,95.0
1651,74.0
1652,116.0
1653,29.0
1654,39.0
1655,18.0
1656,4.0
1657,37.0
1658,44.0
1659,75.0
1660,44.0
1661,21.0
1662,101.0
1663,6.0
1664,64.0
1665,42.0
1666,51.0
1667,0.0
1668,10.0
1669,71.0
1670,137.0
1671,69.0
1672,18.0
1673,61.0
1674,2.0
1675,0.0
1676,54.0
1677,55.0
1678,17.0
