,Chrm3
1448,4.0
1449,11.0
1450,12.0
1451,1.0
1452,2.0
1453,0.0
1454,13.0
1455,1.0
1456,0.0
1457,4.0
1458,3.0
1459,13.0
1460,3.0
1461,5.0
1462,1.0
1463,1.0
1464,2.0
1465,7.0
1466,20.0
1467,2.0
1468,0.0
1469,5.0
1470,0.0
1471,2.0
1472,1.0
1473,4.0
1474,0.0
1475,0.0
1476,8.0
1477,6.0
1478,0.0
1479,4.0
1480,4.0
1481,2.0
1482,1.0
1483,2.0
1484,0.0
1485,9.0
1486,4.0
1487,7.0
1488,2.0
1489,0.0
1490,14.0
1491,8.0
1492,0.0
1493,3.0
1494,12.0
1495,6.0
1496,2.0
1497,17.0
1498,0.0
1499,2.0
1500,1.0
1501,0.0
1502,1.0
1503,0.0
1504,1.0
1505,1.0
1506,15.0
1507,2.0
1508,8.0
1509,0.0
1510,2.0
1511,1.0
1512,0.0
1513,3.0
1514,3.0
1515,1.0
1516,12.0
1517,0.0
1518,1.0
1519,3.0
1520,2.0
1521,0.0
1522,0.0
1523,1.0
1524,17.0
1525,2.0
1526,9.0
1527,0.0
1528,4.0
1529,1.0
1530,0.0
1531,10.0
1532,1.0
1533,2.0
1534,1.0
1535,4.0
1536,0.0
1537,0.0
1538,0.0
1539,6.0
1540,1.0
1541,1.0
1542,1.0
1543,1.0
1544,15.0
1545,3.0
1546,0.0
1547,5.0
1548,11.0
1549,1.0
1550,2.0
1551,2.0
1552,10.0
1553,0.0
1554,11.0
1555,0.0
1556,10.0
1557,1.0
1558,2.0
1559,7.0
1560,0.0
1561,5.0
1562,4.0
1563,7.0
1564,2.0
1565,14.0
1566,6.0
1567,3.0
1568,2.0
1569,3.0
1570,10.0
1571,0.0
1572,2.0
1573,2.0
1574,0.0
1575,5.0
1576,2.0
1577,11.0
1578,14.0
1579,2.0
1580,1.0
1581,2.0
1582,2.0
1583,7.0
1584,13.0
1585,0.0
1586,0.0
1587,0.0
1588,7.0
1589,3.0
1590,0.0
1591,3.0
1592,0.0
1593,1.0
1594,13.0
1595,11.0
1596,1.0
1597,1.0
1598,12.0
1599,1.0
1600,14.0
1601,0.0
1602,0.0
1603,3.0
1604,1.0
1605,0.0
1606,6.0
1607,9.0
1608,15.0
1609,3.0
1610,13.0
1611,2.0
1612,14.0
1613,1.0
1614,2.0
1615,4.0
1616,0.0
1617,0.0
1618,13.0
1619,0.0
1620,4.0
1621,2.0
1622,3.0
1623,0.0
1624,3.0
1625,2.0
1626,0.0
1627,0.0
1628,2.0
1629,2.0
1630,1.0
1631,3.0
1632,20.0
1633,0.0
1634,0.0
1635,8.0
1636,0.0
1637,4.0
1638,0.0
1639,4.0
1640,16.0
1641,9.0
1642,7.0
1643,12.0
1644,1.0
1645,0.0
1646,1.0
1647,1.0
1648,0.0
1649,1.0
1650,15.0
1651,7.0
1652,21.0
1653,3.0
1654,3.0
1655,1.0
1656,3.0
1657,0.0
1658,3.0
1659,8.0
1660,0.0
1661,1.0
1662,10.0
1663,0.0
1664,2.0
1665,0.0
1666,14.0
1667,2.0
1668,1.0
1669,12.0
1670,25.0
1671,9.0
1672,6.0
1673,13.0
1674,0.0
1675,0.0
1676,3.0
1677,11.0
1678,6.0
1679,9.0
1680,12.0
1681,9.0
1682,0.0
1683,0.0
1684,0.0
1685,3.0
1686,2.0
1687,15.0
1688,0.0
1689,7.0
1690,5.0
1691,3.0
1692,1.0
1693,0.0
1694,0.0
1695,3.0
1696,16.0
