,Grm5
1076,12.0
1077,6.0
1078,0.0
1079,16.0
1080,0.0
1081,11.0
1082,11.0
1083,2.0
1084,15.0
1085,8.0
1086,10.0
1087,2.0
1088,3.0
1089,8.0
1090,5.0
1091,0.0
1092,17.0
1093,10.0
1094,0.0
1095,16.0
1096,6.0
1097,0.0
1098,4.0
1099,21.0
1100,0.0
1101,10.0
1102,11.0
1103,7.0
1104,19.0
1105,2.0
1106,5.0
1107,3.0
1108,3.0
1109,22.0
1110,18.0
1111,15.0
1112,9.0
1113,15.0
1114,0.0
1115,1.0
1116,3.0
1117,3.0
1118,0.0
1119,7.0
1120,21.0
1121,15.0
1122,8.0
1123,3.0
1124,9.0
1125,3.0
1126,4.0
1127,2.0
1128,5.0
1129,1.0
1130,1.0
1131,23.0
1132,12.0
1133,13.0
1134,17.0
1135,17.0
1136,1.0
1137,10.0
1138,24.0
1139,10.0
1140,3.0
1141,11.0
1142,12.0
1143,5.0
1144,18.0
1145,1.0
1146,0.0
1147,6.0
1148,3.0
1149,18.0
1150,5.0
1151,1.0
1152,1.0
1153,0.0
1154,4.0
1155,2.0
1156,0.0
1157,5.0
1158,0.0
1159,0.0
1160,1.0
1161,2.0
1162,19.0
1163,7.0
1164,1.0
1165,16.0
1166,0.0
1167,23.0
1168,9.0
1169,6.0
1170,5.0
1171,13.0
1172,3.0
1173,0.0
1174,1.0
1175,5.0
1176,12.0
1177,4.0
1178,1.0
1179,1.0
1180,10.0
1181,7.0
1182,0.0
1183,10.0
1184,3.0
1185,10.0
1186,10.0
1187,3.0
1188,2.0
1189,3.0
1190,13.0
1191,0.0
1192,3.0
1193,0.0
1194,7.0
1195,12.0
1196,7.0
1197,13.0
1198,12.0
1199,0.0
1200,11.0
1201,2.0
1202,1.0
1203,17.0
1204,4.0
1205,14.0
1206,0.0
1207,4.0
1208,4.0
1209,1.0
1210,0.0
1211,8.0
1212,2.0
1213,14.0
1214,0.0
1215,9.0
1216,20.0
1217,2.0
1218,0.0
1219,5.0
1220,9.0
1221,2.0
1222,7.0
1223,6.0
1224,0.0
1225,5.0
1226,7.0
1227,9.0
1228,5.0
1229,0.0
1230,10.0
1231,16.0
1232,4.0
1233,0.0
1234,15.0
1235,13.0
1236,0.0
1237,2.0
1238,12.0
1239,8.0
1240,10.0
1241,0.0
1242,12.0
1243,2.0
1244,0.0
1245,6.0
1246,7.0
1247,2.0
1248,6.0
1249,1.0
1250,16.0
1251,2.0
1252,3.0
1253,0.0
1254,0.0
1255,9.0
1256,11.0
1257,0.0
1258,2.0
1259,21.0
1260,9.0
1261,4.0
1262,8.0
1263,4.0
1264,1.0
1265,15.0
1266,0.0
1267,20.0
1268,1.0
1269,7.0
1270,7.0
1271,14.0
1272,11.0
1273,7.0
1274,7.0
1275,2.0
1276,8.0
1277,16.0
1278,13.0
1279,7.0
1280,5.0
1281,8.0
1282,0.0
1283,5.0
1284,12.0
1285,2.0
1286,5.0
1287,3.0
1288,12.0
1289,1.0
1290,1.0
1291,9.0
1292,4.0
1293,5.0
1294,7.0
1295,2.0
1296,0.0
1297,19.0
1298,4.0
1299,11.0
1300,10.0
1301,6.0
1302,4.0
1303,3.0
1304,5.0
1305,2.0
1306,4.0
1307,0.0
1308,22.0
1309,12.0
1310,5.0
1311,12.0
1312,5.0
1313,8.0
1314,16.0
1315,3.0
1316,2.0
1317,2.0
1318,6.0
1319,2.0
1320,20.0
1321,18.0
1322,2.0
1323,20.0
1324,0.0
1325,9.0
1326,9.0
1327,2.0
1328,22.0
1329,15.0
1330,13.0
1331,10.0
1332,19.0
1333,2.0
1334,3.0
1335,12.0
1336,3.0
1337,23.0
1338,1.0
1339,6.0
1340,8.0
1341,5.0
1342,9.0
1343,1.0
1344,7.0
1345,13.0
1346,11.0
1347,7.0
1348,0.0
1349,3.0
1350,15.0
1351,0.0
1352,11.0
1353,2.0
1354,23.0
1355,0.0
1356,0.0
1357,2.0
1358,10.0
1359,1.0
1360,4.0
1361,13.0
1362,10.0
1363,2.0
1364,2.0
1365,10.0
1366,5.0
1367,12.0
1368,10.0
1369,9.0
1370,7.0
1371,19.0
1372,2.0
1373,13.0
1374,17.0
1375,6.0
1376,8.0
1377,13.0
1378,4.0
1379,0.0
1380,14.0
1381,2.0
1382,3.0
1383,1.0
1384,8.0
1385,0.0
1386,10.0
1387,2.0
1388,3.0
1389,1.0
1390,0.0
1391,10.0
1392,8.0
1393,6.0
1394,5.0
1395,6.0
1396,0.0
1397,4.0
1398,8.0
1399,6.0
1400,0.0
1401,1.0
1402,4.0
1403,0.0
1404,2.0
1405,9.0
1406,2.0
1407,8.0
1408,2.0
1409,3.0
1410,7.0
1411,15.0
1412,0.0
1413,9.0
1414,5.0
1415,6.0
1416,11.0
1417,11.0
1418,5.0
1419,1.0
1420,20.0
1421,14.0
1422,2.0
1423,9.0
1424,12.0
1425,19.0
1426,7.0
1427,9.0
1428,0.0
1429,12.0
1430,3.0
1431,7.0
1432,0.0
1433,4.0
1434,0.0
1435,10.0
1436,0.0
1437,0.0
1438,7.0
1439,0.0
1440,3.0
1441,8.0
1442,9.0
1443,6.0
1444,12.0
1445,3.0
1446,4.0
1447,1.0
1448,1.0
1449,20.0
1450,4.0
1451,5.0
1452,10.0
1453,0.0
1454,7.0
1455,4.0
1456,0.0
1457,4.0
1458,11.0
1459,12.0
1460,9.0
1461,10.0
1462,4.0
1463,3.0
1464,3.0
1465,4.0
1466,23.0
1467,11.0
1468,0.0
1469,18.0
1470,5.0
1471,10.0
1472,9.0
1473,12.0
1474,0.0
1475,14.0
1476,11.0
1477,15.0
1478,3.0
1479,6.0
1480,5.0
1481,1.0
1482,23.0
1483,14.0
1484,1.0
1485,8.0
1486,10.0
1487,14.0
1488,8.0
1489,0.0
1490,14.0
1491,11.0
1492,0.0
1493,12.0
1494,14.0
1495,10.0
1496,5.0
1497,22.0
1498,0.0
1499,10.0
1500,9.0
1501,2.0
1502,2.0
1503,1.0
1504,7.0
1505,0.0
1506,16.0
1507,0.0
1508,15.0
1509,0.0
1510,6.0
1511,8.0
1512,0.0
