,Lmtk2
1352,27.0
1353,11.0
1354,18.0
1355,4.0
1356,0.0
1357,1.0
1358,13.0
1359,4.0
1360,21.0
1361,30.0
1362,21.0
1363,9.0
1364,2.0
1365,16.0
1366,9.0
1367,29.0
1368,17.0
1369,11.0
1370,14.0
1371,26.0
1372,5.0
1373,36.0
1374,29.0
1375,19.0
1376,19.0
1377,30.0
1378,2.0
1379,1.0
1380,20.0
1381,2.0
1382,13.0
1383,5.0
1384,18.0
1385,5.0
1386,13.0
1387,7.0
1388,7.0
1389,1.0
1390,0.0
1391,21.0
1392,21.0
1393,14.0
1394,13.0
1395,5.0
1396,1.0
1397,10.0
1398,24.0
1399,4.0
1400,0.0
1401,5.0
1402,25.0
1403,0.0
1404,0.0
1405,15.0
1406,2.0
1407,8.0
1408,9.0
1409,6.0
1410,19.0
1411,29.0
1412,0.0
1413,13.0
1414,18.0
1415,1.0
1416,31.0
1417,21.0
1418,3.0
1419,2.0
1420,24.0
1421,21.0
1422,10.0
1423,15.0
1424,13.0
1425,18.0
1426,14.0
1427,12.0
1428,1.0
1429,22.0
1430,4.0
1431,22.0
1432,0.0
1433,8.0
1434,0.0
1435,20.0
1436,6.0
1437,0.0
1438,4.0
1439,0.0
1440,12.0
1441,11.0
1442,25.0
1443,4.0
1444,12.0
1445,16.0
1446,9.0
1447,4.0
1448,1.0
1449,15.0
1450,13.0
1451,19.0
1452,27.0
1453,0.0
1454,23.0
1455,8.0
1456,1.0
1457,12.0
1458,11.0
1459,23.0
1460,18.0
1461,12.0
1462,2.0
1463,7.0
1464,10.0
1465,14.0
1466,13.0
1467,19.0
1468,2.0
1469,16.0
1470,5.0
1471,17.0
1472,20.0
1473,22.0
1474,1.0
1475,12.0
1476,22.0
1477,24.0
1478,10.0
1479,6.0
1480,17.0
1481,0.0
1482,16.0
1483,24.0
1484,0.0
1485,34.0
1486,21.0
1487,22.0
1488,21.0
1489,0.0
1490,10.0
1491,22.0
1492,5.0
1493,19.0
1494,16.0
1495,12.0
1496,9.0
1497,37.0
1498,0.0
1499,34.0
1500,7.0
1501,1.0
1502,3.0
1503,1.0
1504,16.0
1505,6.0
1506,26.0
1507,2.0
1508,38.0
1509,0.0
1510,18.0
1511,15.0
1512,2.0
1513,5.0
1514,5.0
1515,2.0
1516,21.0
1517,1.0
1518,1.0
1519,23.0
1520,2.0
1521,1.0
1522,3.0
1523,14.0
1524,32.0
1525,4.0
1526,25.0
1527,0.0
1528,4.0
1529,4.0
1530,0.0
1531,15.0
1532,24.0
1533,9.0
1534,1.0
1535,2.0
1536,0.0
1537,0.0
1538,0.0
1539,23.0
1540,7.0
1541,2.0
1542,3.0
1543,9.0
1544,15.0
1545,7.0
1546,5.0
1547,17.0
1548,18.0
1549,13.0
1550,32.0
1551,3.0
1552,15.0
1553,5.0
1554,26.0
1555,0.0
1556,7.0
1557,1.0
1558,1.0
1559,2.0
1560,21.0
1561,11.0
1562,12.0
1563,8.0
1564,10.0
1565,22.0
1566,30.0
1567,17.0
1568,5.0
1569,4.0
1570,37.0
1571,0.0
1572,11.0
1573,24.0
1574,18.0
1575,12.0
1576,41.0
1577,21.0
1578,25.0
1579,7.0
1580,3.0
1581,2.0
1582,15.0
1583,19.0
1584,25.0
1585,4.0
1586,2.0
1587,1.0
1588,15.0
1589,20.0
1590,5.0
1591,4.0
1592,6.0
1593,11.0
1594,21.0
1595,33.0
1596,12.0
1597,7.0
1598,21.0
1599,21.0
1600,24.0
1601,1.0
1602,14.0
1603,12.0
1604,8.0
1605,1.0
1606,19.0
1607,17.0
1608,13.0
1609,20.0
1610,17.0
1611,16.0
1612,23.0
1613,0.0
1614,5.0
1615,16.0
1616,8.0
1617,0.0
1618,19.0
1619,1.0
1620,0.0
1621,6.0
1622,11.0
1623,2.0
1624,8.0
1625,3.0
1626,0.0
1627,4.0
1628,4.0
1629,0.0
1630,14.0
1631,3.0
1632,22.0
1633,0.0
1634,18.0
1635,24.0
1636,3.0
1637,30.0
1638,23.0
1639,21.0
1640,18.0
1641,14.0
1642,20.0
1643,26.0
1644,19.0
1645,17.0
1646,8.0
1647,25.0
1648,0.0
1649,4.0
1650,28.0
1651,21.0
1652,27.0
1653,10.0
1654,24.0
1655,6.0
1656,3.0
1657,15.0
1658,18.0
1659,25.0
1660,13.0
1661,3.0
1662,28.0
1663,0.0
1664,13.0
1665,15.0
1666,21.0
1667,1.0
1668,2.0
1669,24.0
1670,37.0
1671,18.0
1672,11.0
1673,16.0
1674,1.0
1675,0.0
1676,14.0
1677,15.0
1678,5.0
1679,11.0
1680,31.0
1681,30.0
1682,6.0
1683,0.0
1684,2.0
1685,20.0
1686,5.0
1687,25.0
1688,8.0
1689,25.0
1690,18.0
1691,7.0
1692,0.0
1693,0.0
1694,3.0
1695,3.0
1696,16.0
1697,19.0
1698,12.0
1699,32.0
1700,5.0
1701,4.0
1702,28.0
1703,6.0
1704,12.0
1705,0.0
1706,11.0
1707,14.0
1708,18.0
1709,0.0
1710,6.0
1711,5.0
1712,6.0
1713,1.0
1714,1.0
1715,6.0
1716,23.0
1717,6.0
1718,5.0
1719,13.0
1720,10.0
1721,13.0
1722,27.0
1723,3.0
1724,22.0
1725,21.0
1726,12.0
1727,18.0
1728,14.0
1729,8.0
1730,21.0
1731,1.0
1732,15.0
1733,6.0
1734,35.0
1735,0.0
1736,28.0
1737,16.0
1738,15.0
1739,32.0
1740,4.0
1741,8.0
1742,6.0
1743,25.0
1744,31.0
1745,21.0
1746,5.0
1747,0.0
1748,0.0
1749,45.0
1750,14.0
1751,3.0
1752,27.0
1753,24.0
1754,8.0
1755,17.0
1756,10.0
1757,4.0
1758,18.0
1759,12.0
1760,0.0
1761,11.0
1762,15.0
1763,20.0
1764,2.0
1765,10.0
1766,10.0
1767,6.0
1768,19.0
1769,10.0
1770,3.0
1771,4.0
1772,20.0
1773,1.0
1774,5.0
1775,12.0
1776,16.0
1777,21.0
1778,10.0
1779,17.0
1780,1.0
1781,26.0
1782,2.0
1783,23.0
1784,15.0
1785,25.0
1786,24.0
1787,27.0
1788,4.0
1789,19.0
1790,29.0
1791,7.0
1792,10.0
1793,8.0
1794,11.0
1795,2.0
1796,14.0
1797,1.0
1798,2.0
1799,18.0
1800,28.0
1801,21.0
1802,4.0
1803,14.0
1804,7.0
1805,22.0
1806,23.0
1807,30.0
1808,18.0
1809,3.0
1810,3.0
1811,8.0
1812,1.0
1813,7.0
1814,19.0
1815,3.0
1816,2.0
1817,1.0
1818,14.0
1819,2.0
1820,18.0
1821,0.0
1822,44.0
1823,2.0
1824,9.0
1825,16.0
1826,5.0
1827,5.0
1828,22.0
1829,32.0
1830,4.0
1831,6.0
1832,1.0
1833,20.0
1834,2.0
1835,32.0
1836,2.0
1837,12.0
1838,1.0
1839,33.0
1840,1.0
1841,9.0
1842,0.0
1843,1.0
1844,29.0
1845,0.0
1846,2.0
1847,4.0
1848,1.0
1849,5.0
1850,21.0
1851,20.0
1852,31.0
1853,4.0
1854,0.0
1855,11.0
1856,4.0
1857,4.0
1858,3.0
1859,11.0
1860,11.0
1861,1.0
1862,7.0
1863,15.0
1864,6.0
1865,34.0
1866,24.0
1867,19.0
1868,20.0
1869,13.0
1870,4.0
1871,21.0
1872,4.0
1873,32.0
1874,3.0
1875,23.0
1876,16.0
1877,13.0
1878,5.0
1879,41.0
1880,14.0
1881,15.0
1882,18.0
1883,36.0
1884,24.0
1885,8.0
1886,15.0
1887,13.0
1888,31.0
1889,4.0
1890,0.0
1891,30.0
1892,23.0
1893,20.0
1894,13.0
1895,31.0
1896,16.0
1897,9.0
1898,9.0
1899,6.0
1900,12.0
1901,6.0
1902,22.0
1903,0.0
1904,18.0
1905,8.0
1906,27.0
1907,14.0
1908,3.0
1909,10.0
1910,12.0
1911,27.0
1912,1.0
1913,20.0
1914,20.0
1915,29.0
1916,14.0
1917,24.0
1918,0.0
