,Cspg5
1118,30.0
1119,11.0
1120,25.0
1121,7.0
1122,17.0
1123,2.0
1124,23.0
1125,7.0
1126,5.0
1127,6.0
1128,11.0
1129,0.0
1130,0.0
1131,23.0
1132,10.0
1133,21.0
1134,12.0
1135,22.0
1136,2.0
1137,16.0
1138,17.0
1139,25.0
1140,7.0
1141,18.0
1142,4.0
1143,3.0
1144,33.0
1145,0.0
1146,2.0
1147,3.0
1148,2.0
1149,25.0
1150,4.0
1151,4.0
1152,2.0
1153,0.0
1154,1.0
1155,1.0
1156,5.0
1157,9.0
1158,0.0
1159,3.0
1160,0.0
1161,2.0
1162,20.0
1163,20.0
1164,4.0
1165,8.0
1166,3.0
1167,25.0
1168,16.0
1169,17.0
1170,22.0
1171,4.0
1172,9.0
1173,2.0
1174,0.0
1175,15.0
1176,19.0
1177,2.0
1178,3.0
1179,5.0
1180,12.0
1181,33.0
1182,19.0
1183,5.0
1184,3.0
1185,13.0
1186,10.0
1187,2.0
1188,6.0
1189,13.0
1190,9.0
1191,2.0
1192,4.0
1193,6.0
1194,11.0
1195,27.0
1196,19.0
1197,18.0
1198,13.0
1199,5.0
1200,23.0
1201,0.0
1202,2.0
1203,24.0
1204,20.0
1205,19.0
1206,0.0
1207,1.0
1208,3.0
1209,4.0
1210,2.0
1211,15.0
1212,3.0
1213,13.0
1214,3.0
1215,64.0
1216,7.0
1217,7.0
1218,1.0
1219,13.0
1220,4.0
1221,6.0
1222,14.0
1223,25.0
1224,7.0
1225,9.0
1226,5.0
1227,14.0
1228,9.0
1229,3.0
1230,22.0
1231,22.0
1232,2.0
1233,1.0
1234,23.0
1235,12.0
1236,8.0
1237,7.0
1238,12.0
1239,16.0
1240,9.0
1241,1.0
1242,21.0
1243,2.0
1244,40.0
1245,9.0
1246,25.0
1247,1.0
1248,9.0
1249,3.0
1250,13.0
1251,6.0
1252,9.0
1253,1.0
1254,1.0
1255,13.0
1256,3.0
1257,0.0
1258,17.0
1259,22.0
1260,15.0
