,Adora1
1182,1.0
1183,4.0
1184,3.0
1185,9.0
1186,3.0
1187,1.0
1188,1.0
1189,3.0
1190,0.0
1191,1.0
1192,1.0
1193,1.0
1194,3.0
1195,9.0
1196,6.0
1197,7.0
1198,0.0
1199,0.0
1200,3.0
1201,1.0
1202,1.0
1203,1.0
1204,5.0
1205,2.0
1206,0.0
1207,0.0
1208,4.0
1209,1.0
1210,0.0
1211,3.0
1212,0.0
1213,2.0
1214,0.0
1215,0.0
1216,0.0
1217,1.0
1218,0.0
1219,7.0
1220,0.0
1221,1.0
1222,8.0
1223,4.0
1224,2.0
1225,1.0
1226,2.0
1227,6.0
1228,7.0
1229,0.0
1230,15.0
1231,2.0
1232,0.0
1233,0.0
1234,12.0
1235,0.0
1236,0.0
1237,4.0
1238,2.0
1239,2.0
1240,1.0
1241,0.0
1242,5.0
1243,0.0
1244,1.0
1245,1.0
1246,9.0
1247,1.0
1248,2.0
1249,0.0
1250,1.0
1251,0.0
1252,3.0
1253,0.0
1254,0.0
1255,4.0
1256,0.0
1257,0.0
1258,1.0
1259,0.0
1260,6.0
1261,1.0
1262,7.0
1263,9.0
1264,0.0
1265,7.0
1266,2.0
1267,6.0
1268,1.0
1269,1.0
1270,5.0
1271,3.0
1272,6.0
1273,1.0
1274,0.0
1275,1.0
1276,0.0
1277,2.0
1278,10.0
1279,4.0
1280,5.0
1281,5.0
1282,1.0
1283,3.0
1284,4.0
1285,0.0
1286,8.0
1287,0.0
1288,5.0
1289,1.0
1290,0.0
1291,2.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,5.0
1298,1.0
1299,3.0
1300,16.0
1301,0.0
1302,2.0
1303,7.0
1304,1.0
1305,2.0
1306,1.0
1307,2.0
1308,0.0
1309,5.0
1310,5.0
1311,3.0
1312,0.0
1313,4.0
1314,3.0
1315,2.0
1316,4.0
1317,0.0
1318,0.0
1319,3.0
1320,8.0
1321,3.0
1322,0.0
1323,6.0
1324,0.0
1325,1.0
1326,5.0
1327,4.0
1328,5.0
1329,7.0
1330,5.0
1331,4.0
1332,5.0
1333,5.0
1334,0.0
1335,3.0
1336,0.0
1337,4.0
1338,0.0
1339,0.0
1340,6.0
1341,3.0
1342,5.0
1343,0.0
1344,0.0
1345,1.0
1346,3.0
1347,4.0
1348,1.0
1349,0.0
1350,1.0
1351,0.0
1352,11.0
1353,5.0
1354,6.0
1355,1.0
1356,2.0
1357,0.0
1358,5.0
1359,0.0
1360,1.0
1361,8.0
1362,8.0
1363,1.0
1364,0.0
1365,4.0
1366,1.0
1367,4.0
1368,10.0
1369,4.0
1370,11.0
1371,6.0
1372,2.0
1373,21.0
1374,10.0
1375,2.0
1376,6.0
1377,8.0
1378,0.0
1379,1.0
1380,4.0
1381,1.0
1382,3.0
1383,1.0
1384,5.0
1385,0.0
1386,3.0
1387,3.0
1388,1.0
1389,0.0
1390,0.0
1391,2.0
1392,8.0
1393,1.0
1394,3.0
1395,0.0
1396,1.0
1397,3.0
1398,8.0
1399,1.0
1400,0.0
1401,0.0
1402,11.0
1403,1.0
1404,0.0
1405,5.0
1406,0.0
1407,4.0
1408,1.0
1409,3.0
1410,6.0
1411,6.0
1412,1.0
1413,0.0
1414,4.0
1415,0.0
1416,14.0
1417,7.0
1418,2.0
1419,1.0
1420,10.0
1421,13.0
1422,1.0
1423,3.0
1424,3.0
1425,6.0
1426,8.0
1427,1.0
1428,0.0
1429,2.0
1430,0.0
1431,4.0
1432,0.0
1433,1.0
1434,0.0
1435,5.0
1436,2.0
1437,0.0
1438,5.0
1439,0.0
1440,5.0
1441,7.0
1442,8.0
1443,0.0
1444,6.0
1445,7.0
1446,4.0
1447,1.0
1448,0.0
1449,2.0
1450,3.0
1451,5.0
1452,11.0
1453,0.0
1454,3.0
1455,1.0
1456,0.0
1457,3.0
1458,1.0
1459,2.0
1460,13.0
1461,6.0
1462,2.0
1463,4.0
1464,4.0
1465,2.0
1466,3.0
1467,5.0
1468,0.0
1469,2.0
1470,1.0
1471,4.0
1472,3.0
1473,5.0
1474,1.0
1475,1.0
1476,9.0
1477,8.0
1478,4.0
1479,2.0
1480,3.0
1481,3.0
1482,1.0
1483,6.0
1484,0.0
1485,8.0
1486,3.0
1487,7.0
1488,4.0
1489,2.0
1490,1.0
1491,6.0
1492,1.0
1493,8.0
1494,7.0
1495,9.0
1496,0.0
1497,10.0
1498,0.0
1499,8.0
1500,0.0
1501,0.0
1502,0.0
1503,2.0
1504,6.0
1505,0.0
1506,6.0
1507,1.0
1508,18.0
1509,0.0
1510,3.0
1511,5.0
1512,2.0
1513,1.0
1514,0.0
1515,0.0
1516,11.0
1517,0.0
1518,0.0
1519,7.0
1520,1.0
1521,1.0
1522,0.0
1523,5.0
1524,9.0
1525,0.0
1526,11.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,4.0
1532,4.0
1533,2.0
1534,0.0
1535,0.0
1536,2.0
1537,0.0
1538,2.0
1539,10.0
1540,1.0
1541,0.0
1542,0.0
1543,6.0
1544,2.0
1545,1.0
1546,3.0
1547,7.0
1548,6.0
1549,7.0
1550,10.0
1551,0.0
1552,10.0
1553,1.0
1554,2.0
1555,0.0
1556,5.0
1557,4.0
1558,1.0
1559,0.0
1560,13.0
1561,3.0
1562,0.0
1563,3.0
1564,3.0
1565,8.0
1566,21.0
1567,2.0
1568,3.0
1569,2.0
1570,10.0
1571,0.0
1572,0.0
1573,13.0
1574,9.0
1575,3.0
1576,19.0
1577,4.0
1578,6.0
1579,0.0
1580,0.0
1581,0.0
1582,5.0
1583,5.0
1584,5.0
1585,2.0
1586,0.0
1587,2.0
1588,11.0
1589,4.0
1590,2.0
1591,0.0
1592,1.0
1593,3.0
1594,0.0
1595,8.0
1596,6.0
1597,1.0
1598,4.0
1599,7.0
1600,4.0
1601,1.0
1602,10.0
1603,5.0
1604,1.0
1605,1.0
1606,6.0
1607,3.0
1608,4.0
1609,6.0
1610,7.0
1611,12.0
1612,2.0
1613,0.0
1614,6.0
1615,6.0
1616,1.0
1617,1.0
1618,11.0
1619,0.0
1620,1.0
1621,2.0
1622,4.0
1623,0.0
1624,4.0
1625,0.0
1626,0.0
1627,1.0
1628,0.0
1629,0.0
1630,4.0
1631,1.0
1632,5.0
1633,0.0
1634,6.0
1635,5.0
1636,2.0
1637,7.0
1638,7.0
1639,15.0
1640,5.0
1641,4.0
1642,15.0
1643,4.0
1644,11.0
1645,7.0
1646,3.0
1647,17.0
1648,0.0
1649,2.0
1650,3.0
1651,12.0
1652,7.0
1653,3.0
1654,9.0
1655,2.0
1656,0.0
1657,4.0
1658,6.0
1659,0.0
1660,7.0
1661,2.0
1662,3.0
1663,0.0
1664,8.0
1665,4.0
1666,6.0
1667,1.0
1668,2.0
1669,3.0
1670,10.0
1671,10.0
1672,2.0
1673,2.0
1674,0.0
1675,0.0
1676,5.0
1677,2.0
1678,3.0
1679,3.0
1680,10.0
1681,4.0
1682,4.0
1683,0.0
1684,1.0
