,Celsr2
1028,3.0
1029,1.0
1030,10.0
1031,8.0
1032,0.0
1033,9.0
1034,4.0
1035,18.0
1036,5.0
1037,15.0
1038,12.0
1039,1.0
1040,4.0
1041,8.0
1042,3.0
1043,3.0
1044,12.0
1045,3.0
1046,3.0
1047,0.0
1048,3.0
1049,10.0
1050,11.0
1051,10.0
1052,4.0
1053,14.0
1054,21.0
1055,7.0
1056,8.0
1057,5.0
1058,16.0
1059,4.0
1060,12.0
1061,0.0
1062,2.0
1063,2.0
1064,0.0
1065,7.0
1066,0.0
1067,0.0
1068,5.0
1069,9.0
1070,2.0
1071,1.0
1072,0.0
1073,11.0
1074,7.0
1075,7.0
1076,2.0
1077,6.0
1078,2.0
1079,15.0
1080,0.0
1081,7.0
1082,6.0
1083,1.0
1084,6.0
1085,9.0
1086,11.0
1087,0.0
1088,2.0
1089,2.0
1090,8.0
1091,0.0
1092,8.0
1093,7.0
1094,0.0
1095,16.0
1096,7.0
1097,0.0
1098,0.0
1099,12.0
1100,0.0
1101,8.0
1102,19.0
1103,2.0
1104,8.0
1105,2.0
1106,6.0
1107,4.0
1108,2.0
1109,5.0
1110,13.0
1111,15.0
1112,6.0
1113,9.0
1114,0.0
1115,1.0
1116,5.0
1117,3.0
1118,3.0
1119,1.0
1120,18.0
1121,10.0
1122,5.0
1123,0.0
1124,6.0
1125,4.0
1126,2.0
1127,3.0
1128,10.0
1129,0.0
1130,2.0
1131,13.0
1132,7.0
1133,12.0
1134,7.0
1135,15.0
1136,0.0
1137,4.0
1138,18.0
1139,13.0
1140,2.0
1141,10.0
1142,4.0
1143,0.0
1144,10.0
1145,0.0
1146,0.0
1147,3.0
1148,2.0
1149,22.0
1150,2.0
1151,1.0
1152,1.0
1153,0.0
1154,2.0
1155,1.0
1156,0.0
1157,1.0
1158,0.0
1159,3.0
1160,0.0
1161,0.0
1162,9.0
1163,6.0
1164,0.0
1165,6.0
1166,0.0
1167,17.0
1168,8.0
1169,4.0
1170,4.0
1171,4.0
1172,2.0
1173,0.0
1174,1.0
1175,9.0
1176,6.0
1177,0.0
1178,2.0
1179,0.0
1180,3.0
1181,3.0
1182,2.0
1183,5.0
1184,2.0
1185,8.0
1186,1.0
1187,0.0
1188,10.0
1189,9.0
1190,3.0
1191,2.0
1192,1.0
1193,0.0
1194,5.0
1195,16.0
1196,7.0
1197,13.0
1198,6.0
1199,1.0
1200,10.0
1201,0.0
1202,1.0
1203,14.0
1204,10.0
1205,4.0
1206,0.0
1207,0.0
1208,2.0
1209,0.0
1210,0.0
1211,5.0
1212,1.0
1213,16.0
1214,0.0
1215,7.0
1216,5.0
1217,0.0
1218,0.0
1219,9.0
1220,5.0
1221,1.0
1222,8.0
1223,13.0
1224,3.0
1225,2.0
1226,3.0
1227,6.0
1228,3.0
1229,0.0
1230,10.0
1231,15.0
1232,0.0
1233,1.0
1234,13.0
1235,13.0
1236,0.0
1237,1.0
1238,7.0
1239,4.0
1240,1.0
1241,0.0
1242,13.0
1243,0.0
1244,2.0
1245,5.0
1246,13.0
1247,2.0
1248,4.0
1249,4.0
1250,5.0
1251,3.0
1252,4.0
1253,0.0
1254,1.0
1255,6.0
1256,1.0
1257,0.0
1258,2.0
1259,8.0
1260,9.0
1261,3.0
1262,10.0
1263,4.0
1264,1.0
1265,11.0
1266,0.0
1267,4.0
1268,2.0
1269,7.0
1270,7.0
1271,13.0
1272,9.0
1273,3.0
1274,4.0
1275,1.0
1276,4.0
1277,6.0
1278,7.0
1279,3.0
1280,4.0
1281,8.0
1282,0.0
1283,1.0
1284,11.0
1285,5.0
1286,5.0
1287,2.0
1288,9.0
1289,1.0
1290,0.0
1291,5.0
1292,2.0
1293,3.0
1294,3.0
1295,0.0
1296,0.0
1297,10.0
1298,2.0
1299,3.0
1300,13.0
1301,9.0
1302,7.0
1303,8.0
1304,1.0
1305,5.0
1306,1.0
1307,1.0
1308,12.0
1309,2.0
1310,3.0
1311,8.0
1312,2.0
1313,3.0
1314,8.0
1315,4.0
1316,5.0
1317,1.0
1318,3.0
1319,3.0
1320,13.0
1321,15.0
1322,2.0
1323,11.0
1324,0.0
1325,4.0
1326,4.0
1327,3.0
1328,11.0
1329,9.0
1330,11.0
1331,7.0
1332,12.0
1333,4.0
1334,2.0
1335,5.0
1336,5.0
1337,18.0
1338,0.0
1339,3.0
1340,6.0
1341,2.0
1342,5.0
1343,1.0
1344,3.0
1345,8.0
1346,4.0
1347,5.0
1348,0.0
1349,4.0
1350,9.0
1351,0.0
1352,17.0
1353,6.0
1354,12.0
1355,0.0
1356,0.0
1357,0.0
1358,6.0
1359,3.0
1360,4.0
1361,10.0
1362,7.0
1363,0.0
1364,0.0
1365,8.0
1366,4.0
1367,5.0
1368,3.0
1369,7.0
1370,6.0
1371,17.0
1372,3.0
1373,7.0
1374,7.0
1375,6.0
1376,1.0
1377,8.0
1378,0.0
1379,1.0
1380,8.0
1381,1.0
1382,2.0
1383,2.0
1384,2.0
1385,1.0
1386,5.0
1387,0.0
1388,4.0
1389,0.0
1390,0.0
1391,4.0
1392,8.0
1393,3.0
1394,6.0
1395,5.0
1396,3.0
1397,7.0
1398,12.0
1399,2.0
1400,0.0
1401,0.0
1402,8.0
1403,0.0
1404,2.0
1405,10.0
1406,0.0
1407,5.0
1408,0.0
1409,3.0
1410,7.0
1411,15.0
1412,1.0
1413,4.0
1414,7.0
1415,2.0
1416,14.0
1417,7.0
1418,2.0
1419,2.0
1420,10.0
1421,12.0
1422,4.0
1423,9.0
1424,4.0
1425,13.0
1426,7.0
1427,5.0
1428,0.0
1429,10.0
1430,2.0
1431,7.0
1432,0.0
1433,7.0
1434,0.0
1435,12.0
1436,2.0
1437,1.0
1438,4.0
1439,1.0
1440,6.0
1441,8.0
1442,5.0
1443,3.0
1444,7.0
1445,9.0
1446,1.0
1447,3.0
1448,1.0
1449,13.0
1450,1.0
1451,5.0
1452,12.0
1453,0.0
1454,7.0
1455,2.0
1456,0.0
1457,4.0
1458,3.0
1459,7.0
1460,12.0
1461,6.0
1462,6.0
1463,5.0
1464,4.0
1465,6.0
1466,14.0
1467,5.0
1468,0.0
1469,6.0
1470,1.0
1471,5.0
1472,3.0
1473,11.0
1474,0.0
1475,3.0
1476,9.0
1477,9.0
1478,3.0
1479,3.0
1480,5.0
1481,1.0
1482,10.0
1483,5.0
1484,0.0
1485,10.0
1486,7.0
1487,11.0
1488,10.0
1489,0.0
1490,9.0
1491,7.0
1492,0.0
1493,5.0
1494,13.0
1495,6.0
1496,2.0
1497,15.0
1498,0.0
1499,9.0
1500,4.0
1501,1.0
1502,4.0
1503,0.0
1504,8.0
1505,1.0
1506,13.0
1507,1.0
1508,14.0
1509,0.0
1510,4.0
1511,8.0
1512,0.0
1513,2.0
1514,3.0
1515,6.0
1516,12.0
1517,2.0
1518,4.0
1519,9.0
1520,2.0
1521,0.0
1522,1.0
1523,3.0
1524,11.0
1525,2.0
1526,9.0
1527,1.0
1528,2.0
1529,4.0
1530,0.0
1531,5.0
1532,10.0
1533,4.0
1534,1.0
1535,1.0
1536,0.0
1537,0.0
1538,0.0
1539,12.0
1540,5.0
1541,1.0
1542,3.0
1543,4.0
1544,6.0
1545,9.0
1546,5.0
1547,6.0
1548,7.0
1549,0.0
1550,5.0
1551,1.0
1552,8.0
1553,1.0
1554,6.0
1555,0.0
1556,7.0
1557,0.0
1558,3.0
1559,3.0
1560,8.0
1561,5.0
1562,6.0
1563,6.0
1564,5.0
1565,13.0
1566,11.0
1567,5.0
1568,2.0
1569,0.0
1570,6.0
1571,0.0
1572,4.0
1573,12.0
1574,6.0
1575,8.0
1576,13.0
1577,13.0
1578,6.0
1579,1.0
1580,0.0
1581,1.0
1582,5.0
1583,4.0
1584,9.0
1585,1.0
1586,0.0
1587,0.0
1588,6.0
1589,7.0
1590,4.0
1591,0.0
1592,2.0
1593,9.0
1594,7.0
1595,6.0
1596,7.0
1597,3.0
1598,8.0
1599,6.0
1600,11.0
1601,1.0
1602,2.0
1603,7.0
1604,1.0
1605,1.0
1606,6.0
1607,3.0
