,Syt4
1686,9.0
1687,22.0
1688,1.0
1689,20.0
1690,16.0
1691,9.0
1692,3.0
1693,0.0
1694,5.0
1695,0.0
1696,18.0
1697,28.0
1698,8.0
1699,15.0
1700,3.0
1701,4.0
1702,22.0
1703,3.0
1704,4.0
1705,0.0
1706,12.0
1707,3.0
1708,8.0
1709,0.0
1710,4.0
1711,2.0
1712,1.0
1713,5.0
1714,1.0
1715,2.0
1716,18.0
1717,1.0
1718,6.0
1719,8.0
1720,7.0
1721,9.0
1722,15.0
1723,4.0
1724,7.0
1725,14.0
1726,11.0
1727,10.0
1728,14.0
1729,8.0
1730,19.0
1731,0.0
1732,11.0
1733,9.0
1734,29.0
1735,0.0
1736,30.0
1737,3.0
1738,5.0
1739,19.0
1740,2.0
1741,3.0
1742,4.0
1743,16.0
1744,13.0
1745,16.0
1746,0.0
1747,0.0
1748,0.0
1749,27.0
1750,9.0
1751,3.0
1752,11.0
1753,24.0
1754,10.0
1755,14.0
1756,3.0
1757,7.0
1758,9.0
1759,8.0
1760,0.0
1761,6.0
1762,22.0
1763,14.0
1764,0.0
1765,22.0
1766,3.0
1767,0.0
1768,9.0
1769,10.0
1770,3.0
1771,2.0
1772,24.0
1773,2.0
1774,4.0
1775,12.0
1776,8.0
1777,17.0
1778,4.0
1779,8.0
1780,0.0
1781,12.0
1782,2.0
1783,18.0
1784,8.0
1785,22.0
1786,22.0
1787,23.0
1788,3.0
1789,10.0
1790,27.0
1791,4.0
1792,16.0
1793,15.0
1794,8.0
1795,1.0
1796,9.0
1797,0.0
1798,1.0
1799,11.0
1800,28.0
1801,20.0
1802,0.0
1803,7.0
1804,6.0
1805,20.0
1806,10.0
1807,26.0
1808,22.0
1809,7.0
1810,2.0
1811,6.0
1812,1.0
1813,2.0
1814,16.0
1815,4.0
1816,1.0
1817,2.0
1818,9.0
1819,0.0
1820,9.0
1821,0.0
1822,22.0
1823,3.0
1824,12.0
1825,16.0
1826,4.0
1827,2.0
1828,8.0
1829,16.0
1830,9.0
1831,3.0
1832,0.0
1833,8.0
1834,3.0
1835,12.0
1836,0.0
1837,5.0
1838,0.0
1839,15.0
1840,0.0
1841,10.0
1842,0.0
1843,0.0
1844,24.0
1845,1.0
1846,5.0
1847,4.0
1848,0.0
1849,3.0
1850,11.0
1851,13.0
1852,21.0
1853,3.0
1854,0.0
1855,16.0
1856,4.0
1857,0.0
1858,0.0
1859,10.0
1860,8.0
1861,4.0
1862,6.0
1863,9.0
1864,1.0
1865,14.0
1866,39.0
1867,15.0
1868,17.0
1869,4.0
1870,8.0
1871,27.0
1872,1.0
1873,17.0
1874,3.0
1875,10.0
1876,9.0
1877,9.0
1878,4.0
1879,31.0
1880,23.0
1881,9.0
1882,13.0
1883,13.0
1884,20.0
1885,15.0
1886,9.0
1887,13.0
1888,22.0
1889,2.0
1890,0.0
1891,13.0
1892,28.0
1893,12.0
1894,17.0
1895,24.0
1896,15.0
1897,1.0
1898,8.0
1899,12.0
1900,11.0
1901,5.0
1902,15.0
1903,0.0
1904,9.0
1905,4.0
1906,14.0
1907,17.0
1908,2.0
1909,13.0
1910,12.0
1911,15.0
1912,0.0
1913,17.0
1914,10.0
1915,18.0
1916,7.0
1917,13.0
1918,0.0
1919,7.0
1920,2.0
1921,19.0
1922,21.0
1923,15.0
1924,5.0
1925,24.0
1926,10.0
1927,4.0
1928,5.0
1929,1.0
1930,3.0
1931,0.0
1932,0.0
1933,6.0
1934,0.0
1935,0.0
1936,18.0
1937,16.0
1938,3.0
1939,2.0
1940,10.0
1941,21.0
1942,27.0
1943,0.0
1944,0.0
1945,8.0
1946,2.0
1947,14.0
1948,10.0
1949,0.0
1950,5.0
1951,19.0
1952,2.0
1953,22.0
1954,3.0
1955,4.0
1956,11.0
1957,8.0
1958,22.0
1959,4.0
1960,0.0
1961,9.0
1962,0.0
1963,16.0
1964,8.0
1965,17.0
1966,11.0
1967,1.0
1968,1.0
1969,0.0
1970,2.0
1971,0.0
1972,0.0
1973,3.0
1974,4.0
1975,15.0
1976,10.0
1977,8.0
1978,13.0
1979,12.0
1980,0.0
1981,1.0
1982,1.0
1983,0.0
1984,10.0
1985,11.0
1986,0.0
1987,1.0
1988,9.0
1989,15.0
1990,3.0
1991,6.0
1992,0.0
1993,0.0
1994,8.0
1995,20.0
1996,4.0
1997,5.0
1998,0.0
1999,0.0
2000,28.0
2001,18.0
2002,8.0
2003,20.0
2004,10.0
2005,6.0
2006,13.0
2007,8.0
2008,3.0
2009,1.0
2010,4.0
2011,15.0
2012,5.0
2013,8.0
2014,7.0
2015,2.0
2016,18.0
2017,10.0
2018,19.0
2019,0.0
2020,7.0
2021,11.0
2022,28.0
2023,17.0
2024,1.0
2025,6.0
2026,18.0
2027,7.0
2028,5.0
2029,12.0
2030,12.0
2031,16.0
2032,0.0
2033,2.0
2034,3.0
2035,12.0
2036,18.0
2037,9.0
2038,2.0
2039,0.0
2040,6.0
2041,34.0
2042,8.0
2043,9.0
2044,8.0
2045,19.0
2046,0.0
2047,18.0
2048,3.0
2049,7.0
2050,16.0
2051,0.0
2052,3.0
2053,17.0
2054,6.0
2055,5.0
2056,13.0
2057,0.0
2058,6.0
2059,13.0
2060,18.0
2061,9.0
2062,16.0
2063,14.0
2064,11.0
2065,8.0
2066,9.0
2067,9.0
2068,19.0
2069,9.0
2070,5.0
2071,21.0
2072,4.0
2073,14.0
2074,15.0
2075,12.0
2076,0.0
2077,10.0
2078,0.0
2079,4.0
