,Gabbr2
1023,6.0
1024,2.0
1025,17.0
1026,10.0
1027,0.0
1028,0.0
1029,2.0
1030,20.0
1031,16.0
1032,1.0
1033,24.0
1034,15.0
1035,38.0
1036,15.0
1037,26.0
1038,26.0
1039,3.0
1040,14.0
1041,21.0
1042,5.0
1043,5.0
1044,18.0
1045,0.0
1046,2.0
1047,3.0
1048,10.0
1049,15.0
1050,22.0
1051,21.0
1052,24.0
1053,45.0
1054,32.0
1055,15.0
1056,27.0
1057,14.0
1058,29.0
1059,10.0
1060,36.0
1061,3.0
1062,6.0
1063,6.0
1064,1.0
1065,10.0
1066,1.0
1067,0.0
1068,1.0
1069,26.0
1070,1.0
1071,4.0
1072,0.0
1073,17.0
1074,2.0
1075,17.0
1076,15.0
1077,13.0
1078,4.0
1079,31.0
1080,1.0
1081,9.0
1082,19.0
1083,4.0
1084,16.0
1085,19.0
1086,17.0
1087,3.0
1088,6.0
1089,13.0
1090,11.0
1091,0.0
1092,20.0
1093,15.0
1094,0.0
1095,17.0
1096,17.0
1097,0.0
1098,3.0
1099,20.0
1100,1.0
1101,21.0
1102,28.0
1103,8.0
1104,16.0
1105,7.0
1106,5.0
1107,3.0
1108,2.0
1109,24.0
1110,28.0
1111,35.0
1112,13.0
1113,17.0
1114,1.0
1115,4.0
1116,15.0
1117,1.0
1118,3.0
1119,12.0
1120,34.0
1121,16.0
1122,10.0
1123,3.0
1124,29.0
1125,4.0
1126,4.0
1127,7.0
1128,13.0
1129,2.0
1130,8.0
1131,20.0
1132,9.0
1133,20.0
1134,13.0
1135,30.0
1136,3.0
1137,20.0
1138,38.0
1139,23.0
1140,5.0
1141,24.0
1142,7.0
1143,4.0
1144,23.0
1145,1.0
1146,0.0
1147,13.0
1148,3.0
1149,39.0
1150,6.0
1151,2.0
1152,1.0
1153,1.0
1154,4.0
1155,1.0
1156,1.0
1157,8.0
1158,3.0
1159,3.0
1160,0.0
1161,8.0
1162,8.0
1163,5.0
1164,1.0
1165,23.0
