,mean,std
Insrr,0.01,0.11
Kdr,0.21,0.57
Kit,0.33,0.67
Lmtk2,1.15,0.83
Mertk,0.6,0.93
Met,0.15,0.38
Musk,0.02,0.15
Nrp1,0.61,0.71
Nrp2,0.25,0.46
Ntrk1,0.01,0.13
Ntrk2,1.01,0.87
Ntrk3,1.13,0.9
Pdgfra,0.2,0.62
Pdgfrb,0.24,0.62
Ptk7,0.17,0.35
Ret,0.13,0.41
Ror1,0.07,0.26
Ror2,0.05,0.2
Ros1,0.0,0.05
Ryk,0.79,0.58
Tek,0.17,0.51
Tie1,0.13,0.41
Tyro3,0.84,0.83
Blank-0,0.0,0.03
Blank-1,0.0,0.04
Blank-2,0.0,0.02
Blank-3,0.0,0.04
Blank-4,0.0,0.05
Blank-5,0.0,0.03
Blank-6,0.0,0.02
Blank-7,0.02,0.1
Blank-8,0.01,0.06
Blank-9,0.01,0.09
Blank-10,0.0,0.02
Blank-11,0.0,0.04
Blank-12,0.0,0.03
Blank-13,0.0,0.04
Blank-14,0.0,0.05
Blank-15,0.0,0.04
Blank-16,0.0,0.03
Blank-17,0.0,0.05
Blank-18,0.0,0.03
Blank-19,0.0,0.04
Blank-20,0.0,0.04
Blank-21,0.01,0.07
Blank-22,0.0,0.04
Blank-23,0.01,0.07
Blank-24,0.01,0.09
Blank-25,0.0,0.04
Blank-26,0.0,0.03
Blank-27,0.0,0.02
Blank-28,0.0,0.04
Blank-29,0.0,0.02
Blank-30,0.0,0.03
Blank-31,0.0,0.05
Blank-32,0.0,0.04
Blank-33,0.0,0.03
Blank-34,0.0,0.03
Blank-35,0.0,0.03
Blank-36,0.0,0.05
Blank-37,0.01,0.08
Blank-38,0.0,0.05
Blank-39,0.0,0.04
Blank-40,0.01,0.06
Blank-41,0.0,0.04
Blank-42,0.0,0.05
Blank-43,0.0,0.03
Blank-44,0.0,0.03
Blank-45,0.0,0.04
Blank-46,0.0,0.03
Blank-47,0.0,0.06
Blank-48,0.0,0.02
Blank-49,0.0,0.03
Blank-50,0.0,0.03
Blank-51,0.0,0.05
Blank-52,0.0,0.04
Blank-53,0.01,0.08
Blank-54,0.0,0.04
Blank-55,0.0,0.02
Blank-56,0.0,0.03
Blank-57,0.01,0.09
Blank-58,0.0,0.05
Blank-59,0.0,0.05
Blank-60,0.0,0.02
Blank-61,0.0,0.04
Blank-62,0.0,0.04
Blank-63,0.0,0.02
Blank-64,0.0,0.02
Blank-65,0.0,0.04
Blank-66,0.0,0.02
Blank-67,0.0,0.02
Blank-68,0.0,0.04
Blank-69,0.01,0.09
Blank-70,0.0,0.03
Blank-71,0.0,0.03
Blank-72,0.0,0.03
Blank-73,0.0,0.05
Blank-74,0.0,0.05
Blank-75,0.01,0.08
Blank-76,0.0,0.04
Blank-77,0.0,0.04
Blank-78,0.0,0.02
Blank-79,0.0,0.02
Blank-80,0.01,0.08
Blank-81,0.0,0.04
Blank-82,0.01,0.07
Blank-83,0.01,0.09
Blank-84,0.0,0.03
Blank-85,0.0,0.03
Blank-86,0.0,0.03
Blank-87,0.0,0.04
Blank-88,0.0,0.02
Blank-89,0.01,0.08
Blank-90,0.0,0.02
Blank-91,0.01,0.1
Blank-92,0.0,0.02
Blank-93,0.0,0.03
Blank-94,0.0,0.04
Blank-95,0.01,0.09
Blank-96,0.0,0.02
Blank-97,0.0,0.03
Blank-98,0.01,0.08
Blank-99,0.0,0.05
Blank-100,0.0,0.03
Blank-101,0.0,0.03
Blank-102,0.0,0.02
Blank-103,0.0,0.04
Blank-104,0.0,0.05
Blank-105,0.0,0.04
Blank-106,0.0,0.03
Blank-107,0.0,0.04
Blank-108,0.01,0.06
Blank-109,0.02,0.13
Blank-110,0.0,0.05
Blank-111,0.0,0.04
Blank-112,0.01,0.06
Blank-113,0.0,0.03
Blank-114,0.01,0.06
Blank-115,0.02,0.1
Blank-116,0.0,0.03
Blank-117,0.01,0.07
Blank-118,0.0,0.02
Blank-119,0.0,0.02
Blank-120,0.0,0.02
Blank-121,0.0,0.04
Blank-122,0.0,0.04
Blank-123,0.0,0.04
Blank-124,0.01,0.06
Blank-125,0.0,0.04
Blank-126,0.0,0.05
